company_name,country_code,state_code,region,city,company_category_list,funding_round_type,funding_round_code,announced_on,raised_amount_usd,raised_amount,raised_amount_currency_code,post_money_valuation_usd,post_money_valuation,pre_money_currency_code,investor_count,investor_names,cb_url,company_uuid,funding_round_uuid
GuestDriven,CAN,QC,Montreal,Montréal,Hospitality|Mobile|Travel,venture,A,2013-11-01,3000000,,,,,,8,"Caerus Ventures, Fonds de solidarité FTQ, Good People Ventures, Jesse Kaplan, Plaza Ventures, Presidio Ventures, Real Ventures, Structure Capital",https://www.crunchbase.com/organization/guestdriven,418fff3d-b1a2-99f6-ce46-a55dd0385ea6,a6dd0dd6-b0bb-1be9-adf7-50abc6317d92
Rethink Robotics,USA,MA,Boston,Boston,Manufacturing|Robotics,venture,C,2013-11-01,11500002,,,,,,6,"Bezos Expeditions, CRV, Draper Fisher Jurvetson (DFJ), Highland Capital Partners, Sigma Partners, Two Sigma Ventures",https://www.crunchbase.com/organization/rethink-robotics,4ba8a5f0-1a4b-1e40-810e-d42eec040ddd,1637e281-e23d-cca8-0552-1c5588360bf2
Shots App - The Comedy App,USA,CA,SF Bay Area,San Francisco,Android|iOS|Mobile|Social Media|Teenagers,seed,,2013-11-01,2700000,,,,,,6,"Floyd Mayweather, Justin Bieber, NALA Investments, Omar Epps, Shervin Pishevar, Tom McInerney",https://www.crunchbase.com/organization/shots,0bbaf6fc-50a2-cdfa-87a3-6a897ce6e258,62f440bd-6ec1-9b9b-8451-83c2f0703077
Vires Aeronautics,USA,CA,SF Bay Area,Livermore,Aerospace|Manufacturing,seed,A,2013-11-01,1000000,,,,,,5,"Draper Associates, Lance White, Lemnos Labs, Promus Ventures, VTF Capital (fka VegasTechFund)",https://www.crunchbase.com/organization/vires-aeronautics,e4802411-d477-c162-1c42-5a935608a284,47a5abd8-2400-ab57-1ed6-ff343f6d923b
Arno Therapeutics,USA,NJ,Newark,Parsippany,Biotechnology,private_equity,,2013-10-30,31000000,,,,,,6,"Bellco Capital, Commercial Capital LLC, Perceptive Advisors, Pontifax, Sabby Capital, Soros Fund Management",https://www.crunchbase.com/organization/arno-therapeutics,cb9d3558-bfc2-b5a3-f10c-b074ffe7eb21,2943f4f0-bf23-f7f4-e3f0-c8c76d08a61a
Immune Design,USA,WA,Seattle,Seattle,Biotechnology|Health Care|Therapeutics,venture,C,2013-10-30,49000000,,,,,,6,"Alta Partners, Osage University Partners, ProQuest Investments, The Column Group, Topspin Partners, Versant Ventures",https://www.crunchbase.com/organization/immune-design,c8154f47-124b-e875-28f7-49d3674999d4,4767016c-d943-00ac-624a-7c7a53cd2a8c
Lawdingo,USA,NY,New York City,New York,Law Enforcement|Lead Generation|Legal|Video Chat,angel,,2013-10-30,690000,,,,,,7,"AltaIR Capital, Andrew Moroz, Atsany Capital, Gene Alston, Igor Matsanyuk, Kartik Hosanagar, Nathaniel Stevens",https://www.crunchbase.com/organization/lawdingo,f6f79aa5-e5b1-9541-ea56-1b9cb5f8840c,0bf1d137-adf3-6ecb-5d40-f134998ae681
Prestiamoci,ITA,,Milan,Milano,Finance|Financial Services|Internet,seed,,2013-10-30,707630,550000,EUR,,,,11,"Dario Levi, Digital Magics, Giordano Martinelli, Johan Bode, Lodovico Rosnati, Luca Fabio Giacometti, Luigi Lanari, Marco Valerio Bellini, Mariano Carozzi, Pietro Boroli, Stefano Miccinelli",https://www.crunchbase.com/organization/prestiamoci,84187fea-df20-a4e4-5179-93b43731f636,c28750eb-05ca-7113-1986-98e242c69063
Primary Data,USA,CA,SF Bay Area,Los Altos,Software|Virtualization,venture,B,2013-10-30,50000000,,,,,,7,"Accel, Battery Ventures, Cedar Fund, Lightspeed Venture Partners, Pelion Venture Partners, Wing Capital Group, Wing Venture Capital",https://www.crunchbase.com/organization/primary-data,f0dbb4c7-6416-3b38-aee3-deceba88f839,6d0881ed-3aff-b85f-50d1-1bf530004868
Runnable Inc.,USA,CA,SF Bay Area,San Francisco,Software,seed,,2013-10-30,2000000,,,,,,6,"500 Startups, AngelPad, Hiten Shah, Issac Roth, Resolute.vc, Sierra Ventures",https://www.crunchbase.com/organization/runnable,84b26696-733f-5ab4-8777-c12b7e93c73d,b02ec57b-c87a-6a60-5475-f2536e6ca9cc
Trustev,IRL,,Cork,Cork,E-Commerce|Fraud Detection|Security|Software,seed,,2013-10-30,3000000,,,,,,10,"ACT Venture Capital, David Coallier, Enterprise Ireland, Greycroft Partners, Kevin Abosch, Mangrove Capital Partners, Notion Capital, Shane Naughton, Wayra",https://www.crunchbase.com/organization/trustev,52926acd-2f75-3751-449d-03c2a17ad4c6,ff4435b0-a127-38e0-bb1e-d326fc37abb9
Frontback,USA,CA,SF Bay Area,San Francisco,Curated Web|Finance|Identity Management,seed,,2013-10-29,3000000,,,,,,11,"Alexis Ohanian, Charlie Cheever, Fuel Capital, Garry Tan, Harjeet Taggar, Index Ventures, Lerer Hippeau Ventures, Michael Arrington, Michael Birch, Susa Ventures, SV Angel",https://www.crunchbase.com/organization/frontback,9027cafa-bbd6-965b-bf1f-4f129a71f384,eb9a74e2-1fc7-3cde-97b8-627b9e573b75
Harvest Automation,USA,MA,Worcester,Groton,Manufacturing,venture,C,2013-10-29,11750000,,,,,,5,"Entree Capital, Founder Collective, Life Sciences Partners, MassVentures, Mousse Partners",https://www.crunchbase.com/organization/harvest-automation,9315ebb2-704d-cd38-64cb-d787a2fc8508,0358cc19-f00e-9849-d3fb-8c4687bcd4e8
Layer,USA,CA,SF Bay Area,San Francisco,Infrastructure|Messaging,seed,,2013-10-29,6000000,,,,,,9,"AME Cloud Ventures, Ash Patel, CrunchFund, Data Collective, e.ventures, Fuel Capital, Greycroft Partners, Promus Ventures, SV Angel",https://www.crunchbase.com/organization/layer,b9a0b0fb-2e8f-2763-e180-21e25a101284,5838e093-02e0-5828-ed3c-295e31b420e6
Magisto,USA,CA,SF Bay Area,Menlo Park,Android|Apps|Curated Web|iOS|Video|Video Editing,venture,B,2013-10-29,15500000,,,,,,5,"Horizons Ventures, Magma Venture Partners, Mail.Ru Group, Qualcomm Ventures, SanDisk Ventures",https://www.crunchbase.com/organization/magisto,6972b9ad-e311-b16a-a63f-d4c88fd7d53a,23bcbf18-5663-d0fc-12c7-f247c72e3646
Nextdoor,USA,CA,SF Bay Area,San Francisco,Communities|Privacy|Social Media,venture,C,2013-10-29,60000000,,,660000000,660000000,,7,"Benchmark, Comcast Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers, Shasta Ventures, Slow Ventures, Tiger Global Management",https://www.crunchbase.com/organization/nextdoor,5f6772ef-a9f2-d059-9cd5-7af6bbeb85d2,9623b3b2-9e62-7366-59e3-ed5943fbd69f
Pixlee,USA,CA,SF Bay Area,San Francisco,Advertising|B2B|Brand Marketing|Digital Media|E-Commerce|Mobile|Social Media,seed,,2013-10-29,1500000,,,,,,7,"Andreessen Horowitz, Ariel Poler, InstantScale Ventures, Mark Gorenberg, Richard Boyle, Rothenberg Ventures, XSeed Capital",https://www.crunchbase.com/organization/pixlee,5eb8e851-5a5e-379c-773d-eeddf3d50be7,bbd4662d-fdeb-fd3c-830d-4e8686174c0d
HYLA Mobile,USA,TX,Dallas,Irving,Hardware|Mobile|Mobile Devices,venture,C,2013-10-28,105000000,,,,,,6,"Kleiner Perkins Caufield & Byers, NGEN Partners, OPENAIR Equity Partners, RRE Ventures, Silver Lake Partners, SJF Ventures",https://www.crunchbase.com/organization/erecycling-corps,0884ea7f-d7f2-0932-c6ed-1d8419057267,40bbe7f8-0155-25a6-22a1-3ba50c44c5a2
